DE,Delaware,Northeast
PA,Pennsylvania,Northeast
NJ,New Jersey,Northeast
GA,Georgia,South
CT,Connecticut,Northeast
MA,Massachusetts,Northeast
MD,Maryland,South
SC,South Carolina,South
NH,New Hampshire,Northeast
VA,Virginia,South
DC,Washington DC,South
NY,New York,Northeast
NC,North Carolina,South
RI,Rhode Island,Northeast
VT,Vermont,Northeast
KY,Kentucky,South
TN,Tennessee,South
OH,Ohio,Midwest
LA,Louisiana,South
IN,Indiana,Midwest
MS,Mississippi,South
IL,Illinois,Midwest
AL,Alabama,South
ME,Maine,Northeast
MO,Missouri,Midwest
AR,Arkansas,South
MI,Michigan,Midwest
FL,Florida,South
TX,Texas,South
IA,Iowa,Midwest
WI,Wisconsin,Midwest
CA,California,West
MN,Minnesota,Midwest
OR,Oregon,West
KS,Kansas,Midwest
WV,West Virginia,South
NV,Nevada,West
NE,Nebraska,Midwest
CO,Colorado,West
ND,North Dakota,Midwest
SD,South Dakota,Midwest
MT,Montana,West
WA,Washington,West
ID,Idaho,West
WY,Wyoming,West
UT,Utah,West
OK,Oklahoma,South
NM,New Mexico,West
AZ,Arizona,West
AK,Alaska,OCONUS
HI,Hawaii,OCONUS
