DE,Delaware
PA,Pennsylvania
NJ,New Jersey
GA,Georgia
CT,Connecticut
MA,Massachusetts
MD,Maryland
SC,South Carolina
NH,New Hampshire
VA,Virginia
NY,New York
NC,North Carolina
RI,Rhode Island
VT,Vermont
KY,Kentucky
TN,Tennessee
OH,Ohio
LA,Louisiana
IN,Indiana
MS,Mississippi
IL,Illinois
AL,Alabama
ME,Maine
MO,Missouri
AR,Arkansas
MI,Michigan
FL,Florida
TX,Texas
IA,Iowa
WI,Wisconsin
CA,California
MN,Minnesota
OR,Oregon
KS,Kansas
WV,West Virginia
NV,Nevada
NE,Nebraska
CO,Colorado
ND,North Dakota
SD,South Dakota
MT,Montana
WA,Washington
ID,Idaho
WY,Wyoming
UT,Utah
OK,Oklahoma
NM,New Mexico
AZ,Arizona
AK,Alaska
HI,Hawaii
