The German,http://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/125px-Flag_of_Germany.svg.png,
Dampfbier,234,Dampfbier
Gose,81,Gose
Lager - Dortmunder / Export,190,Lager - Dortmunder / Export
Pilsner - Imperial / Double,156,Pilsner - Imperial / Double
Schwarzbier,43,Schwarzbier
Märzen,35,Märzen
Old Ale,36,Old Ale
Lager -  Vienna / Amber,50,Lager -  Vienna / Amber
Kölsch,30,Kolsch
Hefeweizen,24,Hefeweizen
Kellerbier / Zwickelbier,106,Kellerbier / Zwickelbier
Roggenbier,245,Roggenbier
Dunkelweizen,74,Dunkelweizen
The British Isles,http://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/125px-Flag_of_the_United_Kingdom.svg.png,
Porter - English,238,Porter - English
Mead,150,Mead
Brown Ale - Imperial / Double,211,Brown Ale - Imperial / Double
Pale Ale - English,203,Pale Ale - English
Strong Ale - English,199,Strong Ale - English
Stout - Foreign / Export,191,Stout - Foreign / Export
English Bitter,192,English Bitter
Extra Special / Strong Bitter,92,Extra Special / Strong Bitter
Stout - Imperial Oatmeal,140,Stout - Imperial Oatmeal
Gruit / Ancient Herbed Ale,85,Gruit / Ancient Herbed Ale
Porter - Imperial / Double,165,Porter - Imperial / Double
Barleywine - English,202,Barleywine - English
Winter Ale,52,Winter Ale
Cider,16,Cider
The Belgians,http://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Belgium.svg/125px-Flag_of_Belgium.svg.png,
Belgian Quad,64,Belgian Quad
Blonde Ale - Belgian Blonde / Golden,242,Blonde Ale - Belgian Blonde / Golden
Belgian Strong Dark Ale,91,Belgian Strong Dark Ale
Sour Ale,70,Sour Ale
Lambic,75,Lambic
Flanders Red Ale,179,Flanders Red Ale
Brown Ale - Belgian,229,Brown Ale - Belgian
Pale Ale - Belgian,9,Pale Ale - Belgian
Patersbier,133,Patersbier
The Americans,http://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/125px-Flag_of_the_United_States.svg.png,
IPA - White,249,IPA - White
Red Ale - American Amber / Red,60,Red Ale - American Amber / Red
Stout - American Imperial / Double,86,Stout - American Imperial / Double
IPA - Imperial / Double Black,112,IPA - Imperial / Double Black
California Common,129,California Common
IPA - Triple,248,IPA - Triple
Stout - Imperial / Double,250,Stout - Imperial / Double
Strong Ale - American,119,Strong Ale - American
Lager - North American Adjunct,4,Lager - North American Adjunct
Stout - American,163,Stout - American
Brown Ale - American,116,Brown Ale - American
Red Ale - Imperial / Double,111,Red Ale - Imperial / Double
Lager - IPL (India Pale Lager),247,Lager - IPL (India Pale Lager)
Smoked Beer,237,Smoked Beer
